Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 24, 2022 7:48 PM",Paola Adriana Millares Forno,Estimar Historia,Registrar costo estimado de la historia en ../P14_Implementacio%CC%81n%20de%20requisito%20a447a0788f87415abd4469638bc678fe.md,TL,,Jorge Alan Ramírez Elías
"May 24, 2022 7:52 PM",Diego Arturo Padilla Domínguez,Análisis,"Se asegura el entendimiento del requisito, se identifican los actores, precondiciones, post condiciones y requisitos relacionados con el mismo. ",,TS 2.1,Jorge Alan Ramírez Elías
"May 24, 2022 7:53 PM",Enrique Santos Fraire,Diseño,"Generar los wireframes, las pruebas y los diagramas que faciliten el desarrollo de la funcionalidad. 
Se recomienda diseñar:
    - https://www.lucidchart.com/pages/es/tutorial-diagrama-de-actividades-uml
    - https://www.lucidchart.com/pages/es/diagrama-de-interaccion-uml
    - https://www.lucidchart.com/pages/templates/programming-flowchart-example",,TS 2.3,Jorge Alan Ramírez Elías
"May 24, 2022 7:56 PM",Paola Adriana Millares Forno,Desarollo,Crear una rama nueva en el ../P14_Implementacio%CC%81n%20de%20requisito%20a447a0788f87415abd4469638bc678fe.md siguiendo el ../P14_Implementacio%CC%81n%20de%20requisito%20a447a0788f87415abd4469638bc678fe.md.,,VER 2.1,Jorge Alan Ramírez Elías
"June 9, 2022 2:10 AM",Paola Adriana Millares Forno,,"Sigue la guía https://www.notion.so/082432fd59c346259eddeb22a2abea34 ",,VER 2.2,Julio César Gómez González
"June 9, 2022 10:31 AM",Diego Arturo Padilla Domínguez,,Todos los defectos detectados deben ser anotados en el ../P14_Implementacio%CC%81n%20de%20requisito%20a447a0788f87415abd4469638bc678fe.md y corregidos de inmediato.,,VER 2.3,Paola Adriana Millares Forno
"June 9, 2022 10:29 AM",Paola Adriana Millares Forno,,"Al finalizar el desarrollo de la funcionalidad crea un Pull Request https://www.notion.so/b11c58cb1ce14b42950a56f0b4e618cf ",,VER 1.1 VER 1.2 VER 1.3,Paola Adriana Millares Forno
"May 24, 2022 7:56 PM",Leonardo Alvarado Menéndez,Pruebas,https://www.notion.so/9d3b4ef1e74a4028b85cb2cf1c30b926,,VER 2.2 RD 3.2,Jorge Alan Ramírez Elías
"May 24, 2022 7:56 PM",Leonardo Alvarado Menéndez,Entrega,"https://www.notion.so/751be3be67e24134a293e5eadc460539 ",,RD 3.3,Jorge Alan Ramírez Elías
"May 24, 2022 7:59 PM",Pau,Share the solution,Crear documentación para el usuario,,TS3.1,Jorge Alan Ramírez Elías
"May 24, 2022 8:00 PM",Leonardo Alvarado Menéndez,,Crear documentación para el desarrollador,,TS3.1,Jorge Alan Ramírez Elías
"May 31, 2022 7:22 PM",Diego Arturo Padilla Domínguez,Evaluación constante,"Llenar la matriz de trazabilidad con toda la información del requisito siguiendo el proceso https://www.notion.so/c0f80e5fbb7f474baf74ad4ffdec69b5 ",Team Leader,RKM1.5,Paola Adriana Millares Forno
