Created time,Last edited by,Etapa,Actividad,Encargado,Subpractica,Property
"May 19, 2022 5:57 PM",Pau,Establecimiento de líneas base,"https://www.notion.so/81ed479aea0d45db89846463687d2a6f ",https://www.notion.so/4c6848271dbe4a43a7bd3902ef4cbc9f,CM 1.1,Jorge Alan Ramírez Elías
"May 19, 2022 6:01 PM",Jorge Alan Ramírez Elías,,"Establecer el mecanismo de control de las líneas base  siguiendo lo establecido en https://www.notion.so/4158ca5084434fe8af80b550b1d19df7 ",https://www.notion.so/4c6848271dbe4a43a7bd3902ef4cbc9f,CM 1.2,Jorge Alan Ramírez Elías
"May 19, 2022 5:22 PM",Pau,Revision,Todos los ítems que quieran integrarse a la línea base deberán pasar por su respectivo proceso de revisión https://www.notion.so/9d3b4ef1e74a4028b85cb2cf1c30b926 https://www.notion.so/386d7b5b7b17435eb70e22f8f6ee7f08 https://www.notion.so/c8d92fb8afa7421b81f8cdd652b6f100 y siguiendo la https://www.notion.so/030c4f81d6e84eeebef55e154d94d949,"Miembro del Equipo, Product Owner",CM 3.1,Jorge Alan Ramírez Elías
"May 19, 2022 5:34 PM",Jorge Alan Ramírez Elías,,"En caso de tratarse de un cambio en el repositorio de un equipo se integrará a develop ",Miembros del Equipo,CM 3.1,Jorge Alan Ramírez Elías
"May 19, 2022 5:36 PM",Jorge Alan Ramírez Elías,Validación,Los cambios en develop deberá ser validado por los SH. Posteriormente se pasará a main,PO,CM 3.1,Jorge Alan Ramírez Elías
"May 24, 2022 7:18 PM",Jorge Alan Ramírez Elías,,Al pasar a la rama main deberá indicarse en la descripción del merge request los features agregados en la versión liberada,AO,CM 3.1,Jorge Alan Ramírez Elías
"May 19, 2022 5:37 PM",Jorge Alan Ramírez Elías,,Una vez en main deberá desplegarse al ambiente de producción,AO,CM 3.1,Jorge Alan Ramírez Elías
"May 19, 2022 5:41 PM",Pau,,"Deberá volver a pasar por el proceso de revisión https://www.notion.so/9d3b4ef1e74a4028b85cb2cf1c30b926 https://www.notion.so/c8d92fb8afa7421b81f8cdd652b6f100 https://www.notion.so/386d7b5b7b17435eb70e22f8f6ee7f08 ",Miembros del Equipo,CM 3.1,Jorge Alan Ramírez Elías
"May 19, 2022 6:23 PM",Jorge Alan Ramírez Elías,Gestion de la Configuración,Solicitar la autorización del https://www.notion.so/4c6848271dbe4a43a7bd3902ef4cbc9fpara la liberación de líneas base.,Miembros del Equipo,CM 1.3,Jorge Alan Ramírez Elías
"May 24, 2022 7:24 PM",Pau,,"Registrar la nueva versión de la línea base el la sección de releases dento de Github. Deberán indicarse los features agregados en la versión liberada. Consultar la guía https://www.notion.so/774e022717e2413baa1ea37e29ea89ac ","Miembros del Equipo y https://www.notion.so/4c6848271dbe4a43a7bd3902ef4cbc9f ",,Jorge Alan Ramírez Elías
"May 19, 2022 6:24 PM",Jorge Alan Ramírez Elías,,"Registrar dichas lineas base liberadas dentro de https://www.notion.so/8ef56009a3d545a1a998b4d596eaddb2 siguiendo la estructura descrita en https://www.notion.so/14bf0cdb2ba24eb2b0002ae5b08bc493 ",Miembros del Equipo,"CM 1.3, 3.1",Jorge Alan Ramírez Elías
"May 19, 2022 6:24 PM",Pau,,"Realizar auditorías periódicas de los productos de configuración siguiendo https://www.notion.so/386d7b5b7b17435eb70e22f8f6ee7f08 ",https://www.notion.so/4c6848271dbe4a43a7bd3902ef4cbc9f,CM 3.2,Jorge Alan Ramírez Elías
